CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
107	arctander	The scent is a faint, warm, and sweet balsamic vanilla aroma with excellent longevity.	Very faint, warm-balsamic and sweet odor of Coumarin-Vanillin-type and excellent tenacity.	balsamic; vanillin	The scent is sweet and rich, with notes of balsamic and creamy vanillin.	The scent is a floral, rose-like aroma with fruity and green herbal notes.	floral; fruity; green; herbaceous; leafy; rose	The odor is a pungent, acrid benzene scent with a sharp, sour note.	Faintly sweet and phenolic, with a slightly floral and herbaceous undertone.	The scent is sweetly floral and slightly spicy, reminiscent of honey.	The scent is sweet, honey-like, and slightly floral with herbal notes.	C1=CC=C(C=C1)CCC(=O)O
107	goodscents	The scent is a sweet blend of rose, musk, and cinnamon with a fatty undertone.	sweet fatty rose musk cinnamon	cinnamon; fatty; musk; rose; sweet	Warm, sweet scent with cinnamon, rose, and musky undertones, accompanied by a fatty richness.	Floral and earthy scent with hints of green beans and rose.	flower; fungal; green_beans; rose	The odorant has a pungent, acidic, slightly sweet scent, reminiscent of vinegar.	vanillin sweet creamy heliotropin	The scent is sweet and slightly spicy, with floral and fruity notes.	The scent is a sweet and slightly spicy phenolic aroma.	C1=CC=C(C=C1)CCC(=O)O
107	leffingwell	The scent is weak, sweet, and balsamic with vanilla notes.	Weak, sweet, balsamic odor; sweet vanilla-tonka taste	balsamic; sweet	The scent is rich and sweet, reminiscent of balsamic notes.	The scent is a sweet, floral blend with fruity and green notes.	floral; fruity; green; sweet	The odorant has a pungent, acrid smell, similar to vinegar or burning plastic.	Sweet floral, slightly fruity and herbal, tea-like odor	Fruity and floral, with notes of rose, orange blossom, and a hint of sweetness.	The scent features honey, floral, and slightly fruity notes.	C1=CC=C(C=C1)CCC(=O)O
119	goodscents	The aroma is a savory and meaty scent.	savory meaty	meaty; savory	The smell is rich and meaty, with a deep savory aroma.	Earthy fungal notes and musky hints with surprisingly no discernible scent.	fungal; musky; odorless	Butyric acid-like, pungent, and sweaty, with a strong unpleasant odor.	pungent sweaty animalic ammoniacal musky	Pungent, slightly sweet, and nutty, with a strong ammonia-like undertone.	The scent is pungent and ammoniacal with a sweaty and animalic note.	C(CC(=O)O)CN
125	goodscents	The scent combines fruity and bitter almond notes with sweet coconut undertones.	fruity bitter almond sweet coconut	bitter almond; coconut; fruity; sweet	Sweet and fruity notes blend with bitter almond and coconut undertones.	Smoky, medicinal scent with vanilla and woody undertones.	medicinal; phenolic; smoked; vanilla; woody	The odorant has a sweet, slightly spicy vanilla-like fragrance.	vanillin-like sweet creamy spicy	Vanilla and sweet caramel notes dominate, with a hint of creamy richness.	The scent is a sweet, powdery, and slightly spicy vanilla aroma.	C1=CC(=CC=C1CO)O
125	leffingwell	The scent is weakly sweet with fruity and medicinal notes and a hint of nuttiness.	Weak, sweet, slight fruity-phenolic-medicinal; nutty nuance	fruity; medicinal; nutty; phenolic; sweet	The scent is sweet and fruity with medicinal and nutty undertones.	Aromatic and sweet with fruity, smoky, and vanilla notes, and a hint of phenolic depth.	aromatic; fruity; phenolic; smoky; sweet; vanilla	Vanillin's sweet, creamy aroma is released by this compound.	Sweet, slightly spicy, floral phenolic odor; medicinal notes	Sweet, floral, and slightly spicy, with notes of vanilla and honey.	The scent is sweet and floral with notes of vanilla and orange blossom.	C1=CC(=CC=C1CO)O
126	arctander	The scent is a very faint, sweet-woody-balsamic odor.	Very faint, sweet-woody-balsamic odor. Chemically pure aldehyde is virtually odorless.	balsamic; woody	The scent is rich and earthy, with balsamic and woody notes.	The scent is a sweet, floral blend with earthy and herbal undertones.	floral; hay; herbaceous; medicinal; vanillin	The odorant smells like sweet, fruity salicylic acid.	Tar-like, phenolic, and medicinal odor, somewhat reminiscent of cresol.	The scent is pungent and medicinal, with a bitter almond note.	The scent is sweet and slightly pungent with phenolic notes.	C1=CC(=CC=C1C=O)O
126	goodscents	The scent is sweet, nutty, and almond-like with balsamic and woody notes.	sweet nutty almond balsam woody; slightly nutty almond, balsamic vanilla like with slight brown honey nuance. with a faint metallic character. Mosciano; SWEET, NUTTY, ALMOND, BALSAM, WOODY	almond; balsamic; brown; honey; metallic; nutty; sweet; vanilla; woody	Rich, sweet scent with nutty and woody undertones, hinting at almond and vanilla.	Sweet banana and vanilla notes with hints of cucumber and phenolic undertones.	banana; black; cucumber; phenolic; sweet; vanilla	The odorant has a pungent, sweet, and slightly bitter vanilla-like scent.	vanilla-like sweet creamy phenolic	Vanilla-like sweetness with almond and floral notes, and a hint of spice.	The scent is pungent and phenolic, with smoky and medicinal notes.	C1=CC(=CC=C1C=O)O
126	leffingwell	The scent is a weak almond and nutty hay odor with vanillic notes.	Weak almond-phenolic-woody-balsamic, vanillic, nutty, hay odor	almond; balsamic; hay; nutty; phenolic; woody	Rich, nutty scent with almond and hay notes, and a hint of woody balsamic undertones.	The scent is sweet and aromatic with notes of hay, vanilla, and a hint of phenolic undertones.	aromatic; hay; phenolic; sweet; vanilla	Salicylic acid's scent is bitter, medicinal, and slightly sweet.	Sweet, medicinal, phenolic, and slightly spicy or tar-like	The scent is sweet and medicinal, with notes of vanilla and a hint of tar.	The scent features smoky, tar-like, and phenolic notes.	C1=CC(=CC=C1C=O)O
129	leffingwell	The scent is herbal and cheesy with fruity and cocoa undertones.	Herbal, cheesey, with some fatty fruity-cocoa notes	cheesy; cocoa; fatty; fruity; herbal	Rich, sweet aroma with cheesy, cocoa, and fruity notes, undertones of herbal and fatty scents.	Fresh green fruit with a hint of vegetable and fatty undertones, evoking an ethereal scent.	ethereal; fatty; fruity; green; vegetable	The smell is pungent and sour, characteristic of isobutyraldehyde.	Fruity, floral, waxy and slightly sweet, herbaceous odor	Pungent, fruity, and slightly sweet, with notes of green apple and citrus.	The scent is sharp, pungent, and fruity with citrus and floral notes.	CC(C)CCC=O
135	goodscents	The scent is a pungent mix of phenolic and nutty aromas.	phenolic nutty	nutty; phenolic	The scent is nutty and medicinal, with a distinct phenolic aroma.	The smell is virtually non-existent, with a neutral and unremarkable presence.	black; mild; odorless	The odor is sweet and slightly acidic, like citrus or vinegar.	sweet vanilla creamy caramel	The scent is sweet, floral, and slightly tart, like a ripe citrus fruit.	The scent is a sweet and slightly bitter blend of vanilla and almond notes.	C1=CC(=CC=C1C(=O)O)O
135	leffingwell	This scent is nearly odorless with a hint of sweetness.	Nearly odorless; slight tingling taste; sweetness modiffier	odorless	It has no scent or aroma, a completely neutral smell.	The scent is completely neutral, lacking any discernible aroma or fragrance.	odorless	The odor is sour and acidic, like vinegar.	Sweet, slightly tart and fruity, reminiscent of citrus and berries	The scent is sharp and acidic, reminiscent of citrus and vinegar notes.	The scent is sweet and floral, reminiscent of vanilla and orange blossoms.	C1=CC(=CC=C1C(=O)O)O
174	arctander	The air is filled with a faint, musty odor.	Faint, musty odor.	musty	The smell is damp, earthy, and stale, reminiscent of old basements or forgotten attics.	The scent is completely neutral, lacking any discernible aroma or fragrance.	odorless	Ethyl acetate's sweet, fruity aroma is reminiscent of ripened fruit.	Pungent, penetrating, and slightly sweet vinegar-like odor.	The scent is sweet and fruity, reminiscent of grapes and wine.	The scent is pungent and irritating, with a sharp vinegar-like odor.	C(CO)O
176	arctander	The odor is pungent, sour, and unpleasantly stinging, especially when concentrated.	Pungent, stinging sour odor, unpleasant when concentrated, less repulsive when diluted below} 15$0 in water.	sour	The smell is pungent and acidic, similar to citrus or vinegar.	The scent is a delicate, fruity aroma with an ethereal quality.	ethereal; fruity	The smell of acetic acid (CC(=O)O) is pungent and sour, like vinegar.	Pungent, acrid, and eye-irritating odor, unmistakably reminiscent of acetic acid.	Pungent, acetic smell reminiscent of vinegar or sour fruit.	The scent is pungent, acrid, and sharp, with a vinegar-like odor.	CC(=O)O
176	goodscents	The scent is sharp, pungent, and sour, reminiscent of vinegar.	sharp pungent sour vinegar; sharp vinegar; green, herbal, woody (basil aspects); Sharp, pungent, sour, vinegar	pungent; sharp; sour; vinegar	The smell is a pungent, sharp, and sour scent, reminiscent of strong vinegar.	Sweet, earthy aroma with floral, eucalyptus, and rum notes.	asteraceae; eucalyptus; fungal; green_beans; rum; sweet	The smell is acidic, pungent, and sour, like vinegar.	pungent acetic sour vinegar	The scent is sharp, pungent, and vinegary, with acidic notes.	The scent is pungent, acetic, and vinegar-like, with a sharp acidic note.	CC(=O)O
176	leffingwell	The smell is a pungent, sour vinegar odor.	Pungent, sour, vinegar odor with sour, acid taste	pungent; sour	The smell is sharply pungent with a sour, acidic tone.	Sweet, fruity aroma with hints of green and rum, evoking an ethereal scent.	ethereal; fruity; green; rum; sweet	Acetic acid's pungent, sour smell is characteristic of vinegar.	Pungent, sour, vinegar-like acidic smell	Acetic and sour, reminiscent of vinegar with a sharp, piercing quality.	The scent is pungent, sour, and acidic with a vinegar-like aroma.	CC(=O)O
177	arctander	The scent is pungent and nauseating, similar to coffee or wine at high dilution.	Pungent ethereal-nauseating odor, in high dilution reminiscent of Coffee or Wine.	ethereal; winey	The scent is a delicate, winey aroma with an ethereal quality.	Sweet, airy scent with fruity notes and a hint of gas.	ethereal; fruity; gassy	Acetone's pungent, sweet, and nail polish-like smell is represented by CC=O.	Pungent, irritating, and fruity acetone-like odor with a nauseating effect.	Pungent and sharp, with a sweet, fruity note, like fresh acetone.	The scent is pungent, acrid, and intensely sharp, like acetone.	CC=O
177	goodscents	The scent is pungent, ethereal, and fruity with aldehydic notes.	pungent ethereal aldehydic fruity. Luebke; Pungent, etherial, fresh, lifting, penetrating, fruity and musty. Mosciano	aldehydic; ethereal; fresh; fruity; musty; pungent	Sharp, fruity scent with pungent and musty undertones, lifted by aldehydic freshness.	Pungent eucalyptus and fungal notes blend with sweet rum undertones.	eucalyptus; fungal; pungent; rum; sweet	The smell of acetone, encoded by CC=O, is pungent and nail polish-like.	pungent, acrid, fruity, sweet, and slightly metallic	Pungent, sweet, and fruity, with a strong acetone-like aroma.	The scent is pungent, acrid, and intensely sweet, like nail polish remover.	CC=O
177	leffingwell	The scent is pungent with nutty and citrus notes.	Pungent, breathtaking; in dilution a nutty alcoholic note; enhances citrus	alcoholic; nutty; pungent	The smell is a strong, pungent blend of alcohol and nuts.	Sweet, fruity scent with sharp, pungent notes and a hint of rum.	ethereal; fruity; green; pungent; rum; sharp; sweet	The smell of acetone, encoded by CC=O, is pungent and nail polish-like.	Pungent, sweet, fruity, solvent-like, and sharp acetone-like odor	Pungent, acrid smell reminiscent of nail polish remover or acetone.	The scent is pungent and sweet, with notes of nail polish and acetone.	CC=O
179	arctander	The odor is intensely creamy and buttery, yet mildly penetrating and pleasant in dilution.	Intensely creamy-fatty-buttery, penetrating odor, yet milder and less “quinone’’-like than Diacetyl, not as sharp or volatile. Pleasant in extreme dilution.	buttery; creamy; fatty	The scent is rich and indulgent, with a deep, buttery aroma.	Sweet caramel and fruit notes blend with herbal and refreshing mint undertones.	caramelic; fruity; herbaceous; minty	Butyric acid has a pungent, sour, unpleasant odor.	Pungent, irritating, and diffusive odor reminiscent of acetic acid, but with fruity undertones.	The scent is sweet, fruity, and slightly buttery, reminiscent of caramel.	The scent is a sweet, fruity, and creamy odor with a buttery quality.	CC(C(=O)C)O
179	goodscents	The odor is sweet, buttery, creamy, and fatty, reminiscent of dairy products.	sweet buttery creamy dairy milky fatty. Luebke; Dairy, butter, milk, yogurt; sweet carmal creamy green butter dairy milk fatty buttery creamy sour fatty vanilla; Buttery, Caramellic/ Caramel, Creamy, Dairy Products; CREAMY, SWEET, FATTY	buttery; creamy; dairy; fatty; milky; sweet	The smell is rich and sweet, reminiscent of melted butter and creamy milk.	Mushroom-like earthy sweetness fills the air with a damp, fungal scent.	fungal; sweet	Butyric acid's pungent, sour smell is reminiscent of vomit or sweaty gym socks.	strong fruity pineapple sweet	Sweet, fruity aroma reminiscent of pineapple and tropical flowers.	The scent is a sweet, fruity, and slightly buttery aroma with creamy notes.	CC(C(=O)C)O
179	leffingwell	The scent is creamy, buttery, and yogurt-like.	Creamy-buttery, yogurt-like odor and flavor	buttery; creamy	The scent is rich and velvety, with a sweet, buttery aroma and creamy undertones.	The scent is rich, sweet, and indulgent, with buttery and caramel notes and hints of fruit.	buttery; caramellic; fruity; sweet	Butyric acid has a pungent, sour, and unpleasantly cheesy smell.	Sweet, fruity, floral, slightly woody and herbaceous	Sweet, creamy aroma reminiscent of vanilla and coconut, with a hint of buttery warmth.	The scent is a sweet and fruity aroma reminiscent of banana.	CC(C(=O)C)O
180	arctander	The scent is light, yet powerful and irritating, becoming pleasant when diluted.	Light ethereal-nauseating and powerful odor of very poor tenacity. Irritant at high concentration, rather pleasant in dilution	ethereal	The scent is light, airy, and delicately otherworldly, evoking an intangible sense of wonder.	Ethereal fruit notes mingle with gassy and green undertones, creating a unique aroma.	ethereal; fruity; gassy; green	Isopropyl acetate smells sweet and fruity, like a mix of apples and pears.	Pungent, irritating, sharp, and acrid odor, somewhat reminiscent of acetic acid.	Pungent, sweet, and fruity, with notes of acetone and ripe bananas.	The scent is sharp, pungent, and intensely acrid, like burning plastic.	CC(=O)C
180	goodscents	The scent is a solvent-like blend of ethereal apple and pear notes.	solvent ethereal apple pear	apple; ethereal; pear; solvent	Fruity apple and pear notes blend with an ethereal, slightly chemical solvent scent.	Pungent, earthy scent with eucalyptus and nutty notes.	aldehyde; eucalyptus; fungal; green_beans; nutty	The smell is pungent and acrid, like acetone.	pungent, sweet, fruity, cheesy, sweaty, nauseating; sharp, pungent, sweaty, fruity; acetone, nail polish, fruity, sweet.	Pungent and sweet, with notes of ripe fruit and acetone.	The scent is pungent, with a sharp, fruity, and slightly sweet acetone-like aroma.	CC(=O)C
180	leffingwell	The scent has a characteristic solvent odor.	Characteristic solvent odor	solvent	The smell is pungent and chemical, reminiscent of paint thinner or nail polish remover.	Sweet, fruity scent with fresh, green, and slightly chemical notes, reminiscent of rum.	ethereal; fresh; fruity; green; ketonic; rum	The smell is pungent and acidic, like acetic acid or sour vinegar.	Pungent, sharp, fruity, and slightly sweet acetone-like smell	Pungent, acrid smell reminiscent of burning plastic and chemicals.	The scent is pungent, sharp, and acrid with a solvent-like quality.	CC(=O)C
196	arctander	The scent is practically odorless, with no noticeable fragrance present.	Practically odorless.	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	Buttery and fruity notes with an ethereal quality, surprisingly odorless overall.	buttery; ethereal; fruity; odorless	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	Sharp, irritating, pungent and penetrating odor, somewhat reminiscent of acetic acid.	Pungent, sour smell with vinegar and acidic notes.	The scent is pungent, acrid, and irritating, with a sour vinegar-like odor.	C(CCC(=O)O)CC(=O)O
196	goodscents	The air has no discernible scent, being completely odorless.	odorless	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	Pungent, earthy scent with notes of cabbage and cucumber, tainted by fecal and fungal undertones.	cabbage; cucumber; fecal; fungal	The odorant has a pungent, acidic smell, similar to vinegar.	acidic cheesy sour sweaty	The scent is sour and vinegary, with a sharp acidic punch.	The scent is a pungent and sour acidic smell, similar to vinegar.	C(CCC(=O)O)CC(=O)O
196	leffingwell	The scent is nearly undetectable, with no noticeable odor present.	Pleasant sour taste; odorless	odorless	The scent is completely neutral, lacking any discernible aroma.	Sweet caramel and creamy notes blend with fruity undertones, creating a rich aroma.	caramellic; creamy; fruity	Butyric acid's pungent, sour smell is reminiscent of vomit or sweat.	Buttery, cheesy, sweaty, fruity, floral notes	Neutral to slightly acidic, with a hint of vinegar and no distinct fragrance.	The scent is sharp and acidic with a hint of sweetness.	C(CCC(=O)O)CC(=O)O
222	goodscents	The smell is strongly ammoniacal, reminiscent of pungent chemicals.	ammoniacal	ammoniacal	Pungent, sharp scent reminiscent of ammonia or urine.	Sweet anise mingles with a savory, fleshy undertone, creating a unique aroma.	anise; fleshy	The SMILE string “N” represents ammonia, with a pungent and sharp odor.	Ammonia-like pungent	The scent is pungent and ammonia-like, with a sharp, chemical aroma.	The scent is pungent and unpleasant, characteristic of ammonia.	N
229	goodscents	The scent is completely odorless, having no discernible smell.	odorless	odorless	It has no discernible scent, a complete absence of aroma.	The scent is nearly imperceptible, with a mild and neutral aroma.	mild; odorless	The molecule smells sweet, like glucose, due to its glucose-like structure.	sweet and slightly caramel-like	The scent is sweet and slightly tart, like citrus fruits.	The scent is sweet and slightly fruity, reminiscent of sugar.	C1C(C(C(C(O1)O)O)O)O
235	arctander	The scent is practically odorless, having little to no noticeable smell.	Pratt ically odorless.	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	Sweet caramelic and fruity notes are surprisingly absent, leaving no discernible scent.	caramelic; fruity; odorless	The odor is tart and fruity, resembling citrus, specifically quinic acid.	Sweet, floral, slightly fruity and herbaceous odor, like that of fresh Apple blossom.	The scent is tart and fruity, reminiscent of citrus and berries.	The scent is sour and fruity, reminiscent of citrus or unripe fruit.	C(C(C1C(=O)C(=C(O1)O)O)O)O
239	goodscents	The air is completely odorless, lacking any noticeable scent.	odorless	odorless	The smell is completely neutral, lacking any discernible scent or aroma.	Musty fungal scent is nearly imperceptible, bordering on odorless.	fungal; odorless	Butyric acid derivative with pungent, sour, and slightly sweet notes.	sweet musky fruity animalic	Sweet, nutty, and slightly bitter, with a hint of almond and vanilla.	The scent is reminiscent of sweet cherry and almond with a bitter undertone.	C(CN)C(=O)O
240	arctander	The scent is a powerful sweet aroma, similar to freshly crushed bitter almonds.	Powerfull sweet odor, reminiscent of freshly crushed bitter almonds.	almondy	The scent is sweet and nutty, reminiscent of almonds.	Sweet caramelic and floral notes blend with fruity, hay, and herbaceous undertones.	caramelic; floral; fruity; hay; herbaceous	Benzaldehyde smells like sweet, fruity almonds.	Acidic, pungent, and bitter almond-like odor with a sharp, irritating quality.	The scent is bitter and pungent, reminiscent of burnt coffee.	The scent is sweet, almond-like, and slightly pungent, with a bitter undertone.	C1=CC=C(C=C1)C=O
240	goodscents	The scent is a powerful, sweet almond and cherry aroma with bitter and sharp notes.	strong sharp sweet bitter almond cherry. Luebke; almond, fruity, powdery, nutty and benzaldehyde-like. Mosciano; strong sweet, bitter almond-like; aromatic, spicy, stinging; strong sharp sweet bitter almond cherry sweet aromatic spicy bitter-almond Powerful sweet. Blends-well-with - +Vanillin +Coumarin +Benzophenone +Heliotropin +Bois De Rose Oil Gums; FRUITY, POWERFUL, CHERRY, BITTER ALMOND; almond, bitter-almond, cherry, floral, marzipan, sharp, sweet. Arctander says it has a: “Powerful sweet odor, reminiscent of freshly crushed bitter Almonds.” and that it is “used in perfumery for special topnote effects, and as a trace component in certain floral compositions (Lilac, Sweet Pea, etc.).”	almond; bitter; cherry; fruity; maraschino cherry; nutty; powdery; sharp; sweet	Sweet and nutty almond scent with fruity cherry undertones and a sharp, powdery finish.	Rich, sweet, and earthy, with brothy and nutty undertones.	brothy; brown_sugar; caraway; fungal; nutty; sweet	Benzaldehyde smells like sweet, fruity almonds.	tar-like medicinal phenolic almond	The scent is sweet and floral, with almond and vanilla notes.	The scent is a sweet, almond-like aroma with notes of vanilla and cherry.	C1=CC=C(C=C1)C=O
240	leffingwell	The scent resembles bitter almond oil with a sweet cherry undertone.	Odor of bitter almond oil; characteristic sweet cherry taste	almond	The scent is sweet and nutty, reminiscent of almonds.	Rich, sweet aroma with burnt, nutty, and spicy notes, hinting at caramel and fruit.	burnt; caramellic; fruity; hay; nutty; spicy; sweet	Benzaldehyde's smell is sweet, almond-like, and slightly fruity.	Honey-like, almond, cherry, or floral, slightly sweet	Sharp, pungent scent with notes of bitter almond and cherry, hinting at medicinal undertones.	The scent is almond-like, sweet, and slightly bitter with floral notes.	C1=CC=C(C=C1)C=O
241	arctander	The odor is a choking, warm, and diffusive hydrocarbon smell.	Characteristic “gassy” hydrocarbon odor, choking, diffusive, warm.	gassy	The smell is pungent and sulfurous, similar to rotten eggs or flatulence.	The smell is pungent and sulfurous, reminiscent of rotten eggs or flatulence.	gassy	Benzene's smell is sweet, sharp, and pungent.	Pungent, irritating, and medicinal odor, with a sweetish and phenolic undertone, but generally unpleasant.	The scent is pungent, chemical, and medicinal, like strong tar or asphalt.	The scent is pungent, sharp, and medicinal, resembling benzene or solvent.	C1=CC=CC=C1
241	goodscents	The smell is reminiscent of petroleum, strong and fuel-like.	petroleum	petroleum	The smell is sharp, chemical, and fuel-like, reminiscent of gasoline or motor oil.	Pungent ginger scent with notes of hot plastic, sharp and intense.	ginger; hot; plastic	Benzene's smell is sweet, sharp, and pungent, like gasoline or solvents.	pungent medicinal sweet tar-like	The scent is pungent and aromatic, reminiscent of gasoline and sweet tar.	The scent is a pungent, sharp, and sweet benzene-like aroma.	C1=CC=CC=C1
243	arctander	The commercial product has a peculiar, urine-like or faint carbylamine-like odor.	Odorless when pure. However, the commercial product usually carries a peculiar, unpleasant ‘“Urine-like” or faint Carbylamine- like odor,	odorless; urine; like; faint; like	The smell is virtually odorless, with a faint hint of urine.	Sweet caramel and fruit notes blend with earthy herbal undertones.	caramelic; fruity; herbaceous	The odorant has a pungent, acidic smell, like vinegar.	Sweet, slightly phenolic and spicy, Taragon-like odor with a faintly bitter undertone.	Smells like vinegar, sharp and acidic with a tangy note.	The scent is pungent, acrid, and medicinal, with a sharp phenolic character.	C1=CC=C(C=C1)C(=O)O
243	goodscents	The scent is a faint mix of balsam and urine.	faint balsam urine	balsamic; urine	Pungent, acidic scent with sweet and sour notes, reminiscent of urine and balsamic vinegar.	Earthy sweetness with hints of caraway and fungal notes.	caraway; fungal; sweet	The odorant has a pungent, acidic vinegar-like smell.	sweet powdery vanilla tonka bean	The scent is sharp, acrid, and medicinal, like phenol or disinfectant.	The scent is a pungent, sweet, and slightly bitter phenolic aroma.	C1=CC=C(C=C1)C(=O)O
243	leffingwell	The scent is a very weak, balsamic odor.	Very weak, balsamic odor and burning taste	balsamic	The scent is rich, sweet, and tangy, with a deep, fruity aroma.	The scent is sweet and fruity with a rich caramel note.	caramellic; fruity; sweet	The odor is acrid and vinegary, characteristic of acetic acid.	Sweet, honey, floral, medicinal, and slightly spicy	The scent is sweet, floral, and slightly spicy, reminiscent of honey and rose petals.	The scent is acidic and slightly sweet with a hint of vinegar.	C1=CC=C(C=C1)C(=O)O
